TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Legendary
1,Meka #1,Blood Red,OG Meka,OG Delta Trooper,OG White E13,OG Sphere,OG Rocket jaw,OG Trooper A1,OG Trooper C1,3.0,,,
2,Meka #2,Blue Grey,Gādian,GAI Janjin H1,Cyan Square,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,,
3,Meka #3,Sky Blue,Mirage,MI Sonar,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C1,4.0,MI Rockets X,Silver Weapon,
4,Meka #4,Grey,OG Meka,OG Radiant Trooper,OG Rose E1,OG Heavy,OG Trooper S2,OG Solid Tank,OG Heavy C1,3.0,,,
5,Meka #5,Aqua Lite,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,Bastion J2,GAI Youma,GAI Jingasa C1,3.0,,,
6,Meka #6,,OG Meka,OG Quartz Heavy,OG Green E7,OG Pain,OG Trooper S2,OG Squadron 3,OG Heavy C1,0.0,,Carbon,
7,Meka #7,,OG Meka,OG Quartz Heavy,OG Violet E1,OG Heavy,OG Sabotage S7,OG Squadron 4,OG Trooper C2,0.0,,Siberie,
8,Meka #8,Blood Red,OG Meka,OG Radiant Trooper,OG Rose E1,OG Heavy,OG Assault jaw,OG Solid Tank,OG Heavy C1,3.0,,,
9,Meka #9,White,F9,F9 Spikes,F9 Green E4,F9 Jingasa M2,F9 Brackyura,F9 Jingasa A2,F9 Bastion C1,2.0,,,
10,Meka #10,Pink,OG Meka,OG Quartz Heavy,OG Rose E1,OG Knight,OG Trooper S2,OG Trooper A2,OG Heavy C2,3.0,,Silver Helmet,
11,Meka #11,Blue Grey,Mirage,MI Sonar,MI Pink Visor,MI Sonic M1,MI Sonic J1,MI Radar A1,MI Racer C1,3.0,,,
12,Meka #12,Pastel Blue,Mirage,MI Sonar,MI Pink Visor,MI Racer M1,MI Sonar J2,MI Radar A1,MI Radar C1,2.0,,,
13,Meka #13,Blood Red,F9,F9 Ronin H1,F9 Red E21,F9 Bastion M1,F9 Aura J-0,F9 Jingasa A1,F9 Bastion C1,3.0,GAI Kochi x2,,
14,Meka #14,Aqua Lite,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Trooper S1,OG Trooper A1,OG Heavy C1,4.0,,,
15,Meka #15,Red,Gādian,GAI Jingasa H1,Pink Circle,GAI Bastion M1,GAI Jingasa J1,GAI Yasuke,GAI Jingasa C1,4.0,,,
16,Meka #16,,Mirage,MI Eagle,MI Pink Visor,MI Racer M2,MI WS-2,MI Sonic A1,MI Radar C1,0.0,,Siberie,
