TOKEN_ID,TOKEN_NAME,Background Color,Aura,Skin,Lips,Eyes,Nose Ring,Hair,Shirt,Necklace,Earrings,Headpiece,Tier,Eyeliner,Essence,Tattoos,Eclipsed,Tears,Scar,Bandages,Crown,Void,Blessed
0,Traoora - Divine #0,Natural,Rejuvenation,Imbued,Void Kissed,Hazel,Jeweled,Fiery Seer,Cape of Heart,Pendant of Life,Silver Dreamcatchers,Bronzed Horns,Vindicator,,,,,,,,,,
1,Yaelle - Divine #1,Fandango,Retribution,Cosmic,Toxic,Life Giving,Golden Double Chained,Ancient Dark,Fiery Gown,Gold Charge,Gold Chain,Cradle of Noir,Vindicator,,,,,,,,,,
2,Ia Dararla - Divine #2,Emerald,Focus,Imbued,Frozen,Frozen,Silver Hoop,Blazed,Dark Gown,Arcane Choker,Emerald,Golden Spikes,Vindicator,,,,,,,,,,
3,Ariura - Divine #3,Heated,Serene,Cosmic,Crimson,Passionate,Silver Double Chained,Dark Seer,Shimmering Dress,Golden Columns,Amber,Blossomed Crown,Vindicator,Eyeliner,,,,,,,,,
4,Liaspa - Divine #4,Emerald,Harmonic,Refined,Frosted,Frost,Silver Frayed Ring,Chestnut,Purity Gown,Tears of Grenal,Golden Dreamcatchers,Darkwood Spikes,Vindicator,,,,,,,,,,
5,Oraulila - Divine #5,Ochre,Combative,Cosmic,Amber,Passionate,Chain of Pearls,Ancient Arcane,Vitality Toga,Harspiera's Tears,Pearls,Golden Gladiator,Vindicator,,Lightning,,,,,,,,
6,Raitz - Divine #6,Fandango,Passionate,Tainted,Pursed Frozen,Frost,Silver Slack,Ancient Blue,Natural Gown,Da,Bullets,Golden Horns,Vindicator,,,,,,,,,,
7,Tor Uz - Divine #7,Amethyst,Perceptive,Tainted,Tangerine,Frozen,Silver Bridge,Sunrise,Cape of Nature,Red Opals,Morganite,Gems of Innocence,Vindicator,,,,,,,,,,
8,Disciple Eavanas - Divine #8,Amethyst,Retribution,Serpentheart,Pursed Void,,Golden Double Chained,Disciple,Wraps of Nature,Sramosa,Suspended Sapphire,Rejuvenating Horns,Apostle,,,Refraction,,,,,,,
9,Enchanter Tor Iaze - Divine #9,Natural,Harmonic,Drake-Tempered,Pursed Crimson,,Silver Hoop,Enchanter,Cosmic Mage,Tears of Grenal,Silver Chain,Druidic Crown,Apostle,,Clouded,Loyalty,,,,,,,
10,Arisen Rasei Sol - Divine #10,Fandango,Warm,Airtorn,Pursed Void,,Silver Frayed Ring,Risen,Mystic Amice,Silver Divine,Gold Chain,Gems of Heart,Apostle,,,Of The Wise,,,,,,,
11,Urteve - Divine #11,Laguna,Warm,Imbued,Raspberry,Hazel,Chain of Pearls,River,Tranquil Gown,The Breath of Infinity,Rubies,Pierced Crown,Vindicator,,,,,,,,,,
12,Arisen Ula Tiivanas - Divine #12,Floral,Passionate,Drake-Tempered,Raspberry,,Golden Hoop,Risen,Plates of Nature,Grenal,Silver Echoes,Golden Chandelier,Apostle,,,Glory,,,,,,,
13,Filyn - Divine #13,Azure,Combative,Cosmic,Natural,Frost,Silver Bridge,Electric,Dark Toga,Stones of Life,Gold Charged,Gems of Heart,Vindicator,,,,,,,,,,
14,Raiawe - Divine #14,Sacred Peach,Serene,Imbued,Deep Sea,Frozen,Chain of Pearls,Blunt Bangs,Shimmering Cape,Silver Rings,Solar,Enchanted Horns,Vindicator,,,,,,,,,,
15,Seer Ar Silila - Divine #15,Ochre,Serene,Lifebreath,Pursed Crimson,,Silver Bridge,Seer,Arcane Amice,Red Opals,Gold Charged,Golden Horns,Apostle,,,Guidance,,,,,,,
16,Yunive - Divine #16,Lilac,Focus,Imbued,Pursed Crimson,Hazel,Silver Hoop,Frosted Focus,Mystic Robes,Amarashen,Obsidian,Silver Chandelier,Vindicator,,,,,,,,,,
17,Tel Ealiao - Divine #17,Lilac,Rejuvenation,Cosmic,Pursed Frosted,Life Giving,Jeweled,Faint Hearted,Tarnished Gown,Mystical Stones,Lunar,Coils of Fire,Vindicator,,,,,,,,,,
18,Warrior Iaeraa - Divine #18,Lilac,Perceptive,Lifebreath,Natural,,Golden Frayed Ring,Barbaric,Burned Wraps,The Breath of Infinity,Silver Chandelier,Enchanted Spikes,Apostle,,,Offering,,,,,,,
19,Bruspa - Divine #19,Floral,Tranquility,Cosmic,Pursed Amber,Frozen,Silver Slack,Phoenix,Arcane Robes,Golden Rings,Bullets,Spring Crown,Vindicator,,,,,,,,,,
20,Enchanter Iallii - Divine #20,Sacred Peach,Rejuvenation,Serpentheart,Toxic,,Blessed Stud,Enchanter,Amice of Nature,Harspiera,Solar,Gems of Patience,Apostle,,,Nature's Phase,,,,,,,
21,Arauta - Divine #21,Sacred Peach,Warm,Refined,Pursed Void,Frozen,Golden Hoop,Focused,Arcane Cloak,Gold Divine,Silver Echoes,Dorado,Vindicator,,,,,,,,,,
22,Maeei Re - Divine #22,Floral,Tranquility,Refined,Pursed Frosted,Frozen,Silver Double Chained,Shimmering,Shimmering Cloak,Aegian,Solar,Golden Chandelier,Vindicator,,,,,,,,,,
23,Truvanas - Divine #23,Ochre,Perceptive,Tainted,Deep Sea,Life Taking,Chain of Pearls,Shallow Waters,Natural Dress,Silver Charge,Morganite,Barbs of Arrogance,Vindicator,,,,,,,,,,
24,Zyllila - Divine #24,Lilac,Cosmic,Refined,Frosted,Life Giving,Silver Frayed Ring,Regal,Amber Toga,Tri Obsidian,Golden Tears,Azurite Spikes,Vindicator,,,,,,,,,,
25,Ula Tien Yi - Divine #25,Heated,Harmonic,Tainted,Toxic,Frozen,Chain of Pearls,Fiery,Toga of Heart,Grenal,Golden Echoes,Barrette,Vindicator,,,,Eclipsed,,,,,,
26,Serlai - Divine #26,Natural,Tranquility,Imbued,Amber,Passionate,Blessed Stud,Vindicated,Arcane Cape,Stones of Pride,Silver Chandelier,Plata,Vindicator,,,,,,,,,,
27,Arisen Jinspa - Divine #27,Sacred Peach,Retribution,Airtorn,Pursed Void,,Golden Slack,Risen,Burned Plates,Silver Rings,Golden Dreamcatchers,Gems of Innocence,Apostle,,,Sky Torn,,,,,,,
28,Viaoren Rah - Divine #28,Floral,Retribution,Tainted,Void Kissed,Hazel,Golden Slack,Illuminated Sky,Purity Toga,Silver Barbs,Lunar,Barbs of Ascension,Vindicator,,,,,,,,,,
29,Conjuror Zudori - Divine #29,Floral,Tranquility,Airtorn,Tangerine,,Silver Double Chained,Conjuror,Life Mage,Pendant of Wisdom,Obsidian,Halo of Penance,Apostle,,,Sky Torn,,,,,,,
30,Autersi - Divine #30,Ochre,Retribution,Tainted,Pursed Amber,Life Giving,Silver Hoop,Winter,Natural Toga,The Arc's Guidance,Silver Divine,Coils of Ambience,Vindicator,,,,,Tears,,,,,
31,Mage Ialula - Divine #31,Azure,Focus,Serpentheart,Frosted,,Golden Bridge,Mage,Burned Plates,Pendant of Life,Super Solar,Golden Gladiator,Apostle,,,Spirit,,,,,,,
32,Loeil - Divine #32,Heated,Passionate,Cosmic,Pursed Frozen,Passionate,Silver Bridge,Dusk,Purity Gown,Bronzed Barbs,Golden Divine,Headdress of the Goddess,Vindicator,,Freed,,,,,,,,
33,Enchanter Ula Tinal - Divine #33,Amethyst,Combative,Airtorn,Crimson,,Golden Hoop,Enchanter,White Forseeing,Golden Rings,Amber,Headdress of the Goddess,Apostle,Eyeliner,,Blindsided,,,,,,,
34,Tel Silder - Divine #34,Emerald,Combative,Imbued,Frozen,Frost,Silver Frayed Ring,Ancient Tarnished,Shimmering Cloak,Gro,Silver Charged,Gems of Patience,Vindicator,,,,,,,,,,
35,Aylsoli - Divine #35,Sacred Peach,Warm,Imbued,Amber,Life Giving,Chain of Pearls,Frost,Cape of Wisdom,Obsidian Band,Golden Hoops,Vitality Spikes,Vindicator,,Clouded,,,,,,,,
36,Jinirla - Divine #36,Natural,Cosmic,Betrayed,Crimson,Life Giving,Silver Double Chained,Focused,Robes of Nature,Sramosa,Silver Serpents,Mystical Crown,Vindicator,,,,,,,,,,
37,Yalen Li - Divine #37,Azure,Rejuvenation,Tainted,Raspberry,Frozen,Silver Slack,Phoenix,Bronzed Robes,Green Opals,Obsidian,Revitalized Crown,Vindicator,,,,,,,,,,
38,Ertia Te - Divine #38,Amethyst,Perceptive,Cosmic,Pursed Void,Frozen,Golden Bridge,Heart Seer,Dress of Heart,Tears of Grenal,Emerald,Mystical Horns,Vindicator,,,,,,,,,,
39,Ascended Urten Pa - Divine #39,Natural,Serene,Drake-Tempered,Frozen,,Chain of Pearls,Ascended,Red Librarian,Tarnished Band,Silver Dreamcatchers,Golden Spikes,Apostle,,,Sacrificial,,,,,,,
40,Iaoiv - Divine #40,Amethyst,Focus,Refined,Natural,Passionate,Jeweled,Burnt,Arcane Cape,Harspiera,Golden Stars,Golden Chandelier,Vindicator,,,,,,,,,,
